ngay_dat_mua,ma_don_hang,khach_hang,tong_gia_tri_hang
9/7/19,CA-2019-100006,Dennis Kane,378
7/8/19,CA-2019-100090,Ed Braxton,699
3/14/19,CA-2019-100293,Neil Franz�sisch,91
1/29/19,CA-2019-100328,Jasper Cacioppo,4
4/8/19,CA-2019-100363,Jim Mitchum,21
5/25/19,CA-2019-100391,Barry Weirich,15
4/18/19,CA-2019-100678,Kunst Miller,697
12/16/19,CA-2019-100706,Laurel Elliston,129
11/24/19,CA-2019-100762,Nat Gilpin,509
3/26/19,CA-2019-100860,Cindy Stewart,19
10/19/19,CA-2019-100867,Eugene Hildebrand,322
3/28/19,CA-2019-100881,Daniel Raglin,302
6/2/19,CA-2019-100895,Stewart Visinsky,605
10/21/19,CA-2019-100916,Frank Hawley,789
11/19/19,CA-2019-100972,Dennis Bolton,166
12/2/19,CA-2019-101147,Matt Collins,2
12/9/19,CA-2019-101175,Dario Medina,101
8/27/19,CA-2019-101266,Michael Moore,13
12/22/19,CA-2019-101364,Tamara Willingham,297
12/7/19,CA-2019-101392,Ann Steele,269
12/26/19,CA-2019-101427,Andy Yotov,8
4/20/19,CA-2019-101462,Benjamin Patterson,60
9/12/19,CA-2019-101476,Shirley Daniels,70
11/28/19,CA-2019-101560,Chris Selesnick,542
12/15/19,CA-2019-101602,Mick Crebagga,804
3/31/19,CA-2019-101770,Karen Bern,2
11/17/19,CA-2019-101833,Frank Gastineau,34
10/28/19,CA-2019-101931,Todd Sumrall,1253
9/30/19,CA-2019-102008,Russell Applegate,49
10/4/19,CA-2019-102085,Joy Daniels,29
11/21/19,CA-2019-102274,Dave Hallsten,866
11/24/19,CA-2019-102295,Erica Hackney,121
12/29/19,CA-2019-102330,Arianne Irving,409
1/24/19,CA-2019-102645,Ionia McGrath,40
4/6/19,CA-2019-102652,Andy Yotov,200
11/1/19,CA-2019-102673,Ken Heidel,1044
9/9/19,CA-2019-102869,Logan Currie,233
4/5/19,CA-2019-102988,Greg Maxwell,4252
7/23/19,CA-2019-103058,Alejandro Grove,100
10/17/19,CA-2019-103086,Evan Bailliet,5
12/20/19,CA-2019-103100,Adrian Barton,1108
9/22/19,CA-2019-103191,Vivek Grady,332
11/9/19,CA-2019-103219,Benjamin Farhat,57
5/10/19,CA-2019-103310,Greg Matthias,1770
7/5/19,CA-2019-103317,Don Miller,243
8/26/19,CA-2019-103331,Karl Braun,31
1/16/19,CA-2019-103366,Erica Hackney,150
5/18/19,CA-2019-103373,Bruce Stewart,780
11/21/19,CA-2019-103401,Georgia Rosenberg,13
5/30/19,CA-2019-103429,Laurel Workman,765
10/10/19,CA-2019-103492,Craig Molinari,1489
9/9/19,CA-2019-103527,Chris Cortes,11
11/30/19,CA-2019-103590,Jeremy Lonsdale,62
8/25/19,CA-2019-103660,Mitch Webber,1008
9/12/19,CA-2019-103702,Art Foster,64
2/24/19,CA-2019-103744,Michael Grace,11
1/4/19,CA-2019-103800,Darren Powers,16
12/2/19,CA-2019-103807,Elizabeth Moffitt,21
5/11/19,CA-2019-103849,Paul Gonzalez,225
9/17/19,CA-2019-103940,Bradley Nguyen,261
3/19/19,CA-2019-103989,Matt Connell,591
8/25/19,CA-2019-104178,Janet Molinari,176
3/1/19,CA-2019-104269,Dave Brooks,458
6/27/19,CA-2019-104283,Liz MacKendrick,616
6/17/19,CA-2019-104402,Duane Benoit,66
6/2/19,CA-2019-104472,Christine Kargatis,133
3/7/19,CA-2019-104563,Craig Molinari,1144
12/30/19,CA-2019-104738,Stefania Perrino,610
12/8/19,CA-2019-104773,Thomas Boland,60
5/21/19,CA-2019-104780,Bradley Talbott,32
2/5/19,CA-2019-104808,Mark Haberlin,17
11/18/19,CA-2019-104829,John Grady,22
12/9/19,CA-2019-104976,Cyma Kinney,35
9/7/19,CA-2019-105165,Sam Zeldin,469
4/4/19,CA-2019-105172,Paul Knutson,19
11/28/19,CA-2019-105249,Duane Huffman,460
11/11/19,CA-2019-105270,Arthur Prichep,143
11/22/19,CA-2019-105340,Evan Henry,7
1/8/19,CA-2019-105417,Vivek Sundaresam,87
3/3/19,CA-2019-105648,Eva Jacobs,626
5/30/19,CA-2019-105872,James Galang,70
11/11/19,CA-2019-105893,Pete Kriz,666
11/24/19,CA-2019-105984,Muhammed Yedwab,1661
1/7/19,CA-2019-106054,Jack O'Briant,13
6/7/19,CA-2019-106229,Nick Radford,269
12/26/19,CA-2019-106264,Clytie Kelty,15
12/5/19,CA-2019-106376,Brendan Sweed,1281
10/31/19,CA-2019-106439,Greg Guthrie,1008
9/5/19,CA-2019-106572,Nora Preis,264
8/24/19,CA-2019-106719,Robert Barroso,8
12/6/19,CA-2019-106726,Roland Schwarz,1261
12/29/19,CA-2019-106803,Debra Catini,144
5/14/19,CA-2019-106810,Anthony Johnson,311
9/2/19,CA-2019-106971,Bryan Mills,476
7/5/19,CA-2019-107139,Dennis Pardue,181
9/28/19,CA-2019-107153,George Zrebassa,46
2/5/19,CA-2019-107181,Deborah Brumfield,117
8/25/19,CA-2019-107398,Brendan Sweed,30
11/2/19,CA-2019-107454,Roger Demir,124
3/2/19,CA-2019-107524,Kristina Nunn,48
12/12/19,CA-2019-107573,Philip Brown,23
7/2/19,CA-2019-107594,Eric Hoffmann,80
2/15/19,CA-2019-107706,Shui Tom,16
2/8/19,CA-2019-107755,Cyma Kinney,115
10/28/19,CA-2019-107769,Bill Tyler,258
4/29/19,CA-2019-107811,Laura Armstrong,662
9/8/19,CA-2019-107818,Marc Crier,1772
8/24/19,CA-2019-107916,Jennifer Patt,26
6/8/19,CA-2019-108147,Rick Duston,1745
2/7/19,CA-2019-108182,Delfina Latchford,9
10/2/19,CA-2019-108189,Erin Smith,598
12/16/19,CA-2019-108273,Ed Jacobs,93
10/31/19,CA-2019-108609,Anthony Jacobs,1422
10/24/19,CA-2019-108707,Daniel Byrd,10
5/28/19,CA-2019-108861,Magdelene Morse,137
10/3/19,CA-2019-108903,Denny Ordway,213
8/15/19,CA-2019-109043,Christine Sundaresam,244
12/21/19,CA-2019-109127,John Castell,17
11/5/19,CA-2019-109134,Deanra Eno,20
6/30/19,CA-2019-109218,Anthony Rawles,32
1/14/19,CA-2019-109232,Natalie DeCherney,546
8/12/19,CA-2019-109302,Charles Sheldon,196
2/21/19,CA-2019-109491,Linda Cazamias,83
10/6/19,CA-2019-109680,Victoria Pisteka,386
9/1/19,CA-2019-109855,Lena Hernandez,381
7/21/19,CA-2019-109890,Patrick Gardner,36
8/12/19,CA-2019-109897,Ben Wallace,892
7/14/19,CA-2019-109904,Barbara Fisher,18
9/7/19,CA-2019-109918,Lisa Ryan,132
12/9/19,CA-2019-109932,Victoria Pisteka,248
12/6/19,CA-2019-110030,Luke Foster,24
8/5/19,CA-2019-110065,Stephanie Phelps,152
10/22/19,CA-2019-110072,Maureen Gastineau,94
4/25/19,CA-2019-110100,Lena Creighton,302
7/12/19,CA-2019-110184,Ben Ferrer,506
5/5/19,CA-2019-110219,Emily Burns,128
11/23/19,CA-2019-110352,Emily Ducich,24
10/18/19,CA-2019-110408,Alan Schoenberger,2217
1/22/19,CA-2019-110422,Tom Boeckenhauer,25
8/9/19,CA-2019-110527,Emily Ducich,21
4/11/19,CA-2019-110555,Michelle Moray,410
10/6/19,CA-2019-110611,Joy Daniels,84
8/23/19,CA-2019-110639,Rick Hansen,72
12/29/19,CA-2019-110786,Anthony Johnson,1366
4/18/19,CA-2019-110849,John Lee,323
6/1/19,CA-2019-111003,Corey Roper,335
2/4/19,CA-2019-111059,Tom Boeckenhauer,97
12/31/19,CA-2019-111150,Rob Williams,77
3/2/19,CA-2019-111157,Nicole Hansen,155
7/30/19,CA-2019-111192,Tom Stivers,1368
11/24/19,CA-2019-111360,Alyssa Tate,6
12/26/19,CA-2019-111451,Kelly Lampkin,855
8/17/19,CA-2019-111500,Don Jones,485
6/29/19,CA-2019-111773,Jim Karlsson,14
4/23/19,CA-2019-111857,Nathan Mautz,49
3/18/19,CA-2019-111871,Eileen Kiefer,1198
5/4/19,CA-2019-111899,Nat Carroll,43
5/5/19,CA-2019-111934,Giulietta Dortch,47
9/29/19,CA-2019-111962,Evan Bailliet,818
12/2/19,CA-2019-112158,David Philippe,1051
4/3/19,CA-2019-112291,Katrina Edelman,233
1/5/19,CA-2019-112326,Phillina Ober,288
3/31/19,CA-2019-112403,Jas O'Carroll,1
12/16/19,CA-2019-112718,Kean Nguyen,1
9/11/19,CA-2019-112837,Liz Willingham,128
9/17/19,CA-2019-112851,Nick Radford,183
10/24/19,CA-2019-113047,Arthur Prichep,12
12/24/19,CA-2019-113166,Luke Foster,10
12/16/19,CA-2019-113257,Sean Christensen,329
7/9/19,CA-2019-113271,Darrin Sayre,172
12/12/19,CA-2019-113320,Logan Haushalter,31
9/14/19,CA-2019-113362,Astrea Jones,460
9/10/19,CA-2019-113383,Sandra Flanagan,337
12/13/19,CA-2019-113579,Katherine Ducich,90
5/13/19,CA-2019-113768,Aaron Hawkins,287
9/13/19,CA-2019-113859,Becky Castell,340
3/1/19,CA-2019-113880,Vicky Freymann,652
4/5/19,CA-2019-113887,Tracy Hopkins,55
6/16/19,CA-2019-113929,Chloris Kastensmidt,116
9/23/19,CA-2019-113964,Julie Prescott,18
7/9/19,CA-2019-114125,Gary Hansen,69
5/10/19,CA-2019-114181,Art Foster,372
11/1/19,CA-2019-114195,Erin Ashbrook,94
11/5/19,CA-2019-114251,Maribeth Dona,1477
10/11/19,CA-2019-114314,Dorothy Badders,16
8/20/19,CA-2019-114321,Nick Crebassa,1417
9/28/19,CA-2019-114335,Xylona Preis,337
5/13/19,CA-2019-114433,Naresj Patel,150
3/14/19,CA-2019-114510,Jason Fortune-,280
12/23/19,CA-2019-114517,Tiffany House,110
6/13/19,CA-2019-114643,Filia McAdams,15
3/11/19,CA-2019-114790,Filia McAdams,783
9/26/19,CA-2019-115049,Michael Moore,154
5/2/19,CA-2019-115056,Andrew Roberts,26
10/18/19,CA-2019-115084,Luke Schmidt,605
9/26/19,CA-2019-115133,Dianna Arnett,53
2/1/19,CA-2019-115161,Liz Carlisle,291
8/25/19,CA-2019-115259,Ryan Crowe,199
11/18/19,CA-2019-115336,Ann Blume,14
8/6/19,CA-2019-115357,Roland Fjeld,63
1/17/19,CA-2019-115791,Delfina Latchford,300
6/9/19,CA-2019-115812,Brosina Hoffman,3714
11/2/19,CA-2019-115889,Shahid Hopkins,409
11/24/19,CA-2019-115973,Nathan Gelder,3
7/15/19,CA-2019-115980,Victoria Wilson,10
7/26/19,CA-2019-116190,Sheri Gordon,256
3/4/19,CA-2019-116239,Clay Ludtke,355
9/12/19,CA-2019-116246,Luke Weiss,3785
11/15/19,CA-2019-116407,Jamie Frazer,362
12/14/19,CA-2019-116568,Bryan Mills,186
5/8/19,CA-2019-116666,Kean Thornton,1800
12/15/19,CA-2019-116673,Jas O'Carroll,6
6/30/19,CA-2019-116757,Michael Stewart,47
4/26/19,CA-2019-116785,Marc Harrigan,34
10/11/19,CA-2019-116834,Dean percer,408
9/23/19,CA-2019-116904,Sanjit Chand,9900
7/21/19,CA-2019-116932,Michelle Ellison,1174
3/4/19,CA-2019-117016,Sanjit Chand,16
10/19/19,CA-2019-117317,Jeremy Farry,13
8/1/19,CA-2019-117345,Barbara Fisher,203
10/7/19,CA-2019-117429,Mathew Reese,130
7/22/19,CA-2019-117464,Naresj Patel,1136
9/21/19,CA-2019-117478,Larry Hughes,7
5/21/19,CA-2019-117639,Mitch Willingham,3334
